officer_id,n_stops
C055,2940
H038,2036
D028,1937
D025,1919
G040,1910
M003,1852
H044,1720
H001,1657
M031,1602
M009,1537
F035,1527
D052,1473
J046,1442
K047,1435
G034,1414
K028,1409
D049,1387
J036,1371
G021,1337
D023,1311
D039,1304
J014,1277
D018,1275
D019,1271
C008,1257
G026,1250
H028,1250
D010,1248
G035,1247
G037,1231
C009,1198
H030,1172
D036,1171
K014,1169
H036,1146
D016,1137
D014,1123
F027,1111
E023,1101
C011,1097
G015,1092
F039,1084
K016,1082
K048,1082
M046,1080
C044,1074
G057,1072
D011,1054
D015,1049
C054,1045
J021,1042
M025,1030
J034,1023
G017,1016
K029,1008
C022,1003
J038,998
G038,988
D017,987
C033,980
J010,980
C010,976
D022,973
E028,962
M020,958
G011,954
C050,936
D030,934
K040,927
F037,923
K044,917
F040,914
G016,864
H019,861
H034,858
H043,854
M023,851
H015,834
F016,832
K017,824
C036,822
H016,818
M045,808
G042,804
H046,804
C013,795
K025,795
J013,780
J025,761
H022,751
G036,748
E049,733
G018,727
K015,717
C015,712
G022,710
H014,703
M010,703
G019,694
G028,693
K031,691
H045,690
K019,678
K035,677
K050,663
F033,660
H012,650
D032,649
J060,648
F013,642
C028,641
M018,641
C018,639
F019,639
M026,634
K043,633
F021,630
M030,630
F023,627
C031,625
K042,625
J051,624
D012,615
E016,613
D024,610
C062,609
H009,604
G023,602
J015,596
M016,592
F028,576
H023,554
H047,554
H018,546
K057,546
D021,544
H002,544
C056,536
G009,535
M014,532
M029,529
J027,527
K012,525
C051,523
F018,523
F031,522
K022,522
G014,511
F053,510
M015,506
M024,505
D026,504
K021,501
H020,499
C035,498
J042,498
F004,496
F029,495
E002,493
K046,492
R021,490
D004,479
M004,479
G051,478
F001,474
G010,474
F050,473
E018,472
C064,471
G004,467
E046,460
K030,460
D020,459
K020,457
M019,453
G050,452
J029,452
D002,451
G047,450
D005,447
R019,445
K024,443
J045,428
K026,428
J011,425
H035,424
K010,423
G031,422
E025,421
F015,415
D029,414
D031,412
G020,408
M032,401
K036,393
G033,391
H024,391
U061,390
J012,385
F036,380
G030,379
G055,379
C070,378
K045,374
F024,371
C032,370
K041,370
F003,369
G024,361
M041,359
C025,355
D013,354
F011,354
M028,350
C047,348
F030,347
C016,346
B026,345
K023,340
U026,340
F038,339
E029,333
M049,332
C029,328
G025,328
C000,326
J055,324
E013,323
B123,320
U034,320
C038,317
C041,317
U039,317
J009,314
R037,314
U033,313
F014,309
J005,308
M033,303
D033,302
E031,300
G045,299
E030,297
E041,296
J018,294
M048,291
F045,288
F005,287
K037,286
G000,283
G013,283
E024,281
C023,279
C002,276
H017,275
G032,274
J003,270
E027,265
J016,265
R017,264
F017,262
C037,261
D003,259
M017,258
E017,256
H040,252
D006,247
B116,240
E036,239
H013,239
J053,238
K032,236
J004,235
H032,234
G002,230
J020,230
M002,230
C021,229
D046,227
H000,227
K002,227
C058,226
E035,225
E043,225
U028,221
E021,218
G003,214
H039,214
J019,213
F048,212
E012,210
H010,209
K003,208
C019,207
E055,207
U071,205
J035,200
G001,197
B015,196
C020,195
C004,193
M013,191
H003,190
J031,190
K001,189
F026,184
F043,181
M005,180
S008,180
U049,178
C014,177
C042,177
S021,177
G005,176
M042,175
R027,175
F020,172
G027,172
K008,169
M037,169
C045,167
S012,166
J017,163
H011,161
U066,160
S018,156
K049,155
B127,154
K052,154
F034,151
K018,150
H004,146
M034,145
D008,144
C005,140
D042,140
E005,139
F012,138
C001,137
D034,137
F032,136
C017,135
E015,135
S020,135
M022,133
U068,132
R025,131
A007,128
B081,128
F002,122
S027,122
U055,121
K011,120
A032,119
B067,119
F022,119
S016,118
E019,116
E045,115
K005,112
R043,111
R034,109
R042,109
B101,107
F000,107
H006,107
D000,106
M036,105
J007,103
E020,102
J008,100
S017,100
B113,99
